Epoch,Training Accuracy,Testing Accuracy
1,78.19234192015874,82.1986346774631
2,82.67392258994859,83.11344570583768
3,83.30765680574754,83.40523189968533
4,83.58703522274556,83.59725952148438
5,83.75706606309409,83.68487464057075
6,83.84459326802855,83.75221676296658
7,83.90395845143979,83.76358456081815
8,83.93072655376336,83.81122165256076
9,83.9624150846872,83.84051428900825
10,83.9852896172768,83.83595784505208
11,83.99766349413285,83.83059607611763
12,84.00636373409931,83.84802924262152
13,84.00678691522738,83.86528862847223
14,84.02607578406514,83.89414469401042
15,84.02684479063122,83.882081773546
16,84.03124193073978,83.90732659233942
17,84.03330474914186,83.90292697482639
18,84.05027901439021,83.89549255371094
19,84.04042905652025,83.90922970241971
20,84.04784913565481,83.91351487901476
21,84.05306836956775,83.9023208618164
22,84.0573365835262,83.91603257921007
23,84.05400422173987,83.91372680664062
24,84.05237520191352,83.94071367051866
25,84.06455341437702,83.90933566623264
26,84.05587592608413,83.91666412353516
27,84.05781436867079,83.91107771131728
28,84.060985951964,83.9229244656033
29,84.06092376405628,83.91826629638672
30,84.06446240768281,83.9258321126302
31,84.06270294492809,83.93518659803603
32,84.05808587197518,83.89114379882812
33,84.05623995286095,83.94130282931857
34,84.06269839459338,83.93237643771701
35,84.06845608478038,83.93641153971355
36,84.06642815227774,83.93549177381728
37,84.0665828636579,83.92673916286893
38,84.06244054229312,83.94452412923177
39,84.0635720588578,83.94495222303603
40,84.06680279650224,83.93847995334201
41,84.06924329268529,83.9321051703559
42,84.06959518523624,83.95250108506944
43,84.06597008525021,83.93861558702257
44,84.06994859456543,83.92960442437067
45,84.07214185589588,83.93847147623697
46,84.07301400338206,83.94843631320529
47,84.07367986902801,83.94217173258464
48,84.07022313142629,83.94686804877387
49,84.07055075552545,83.9417012532552
50,84.07065541322379,83.95448472764757
